"_id","_labels",":START_ID",":END_ID",":TYPE"
,,"0","1076","FOLLOWS"
,,"1077","0","FOLLOWS"
,,"0","1079","FOLLOWS"
,,"1082","0","FOLLOWS"
,,"1084","0","FOLLOWS"
,,"0","1085","FOLLOWS"
,,"1089","0","FOLLOWS"
,,"0","1090","FOLLOWS"
,,"1093","0","FOLLOWS"
,,"0","1094","FOLLOWS"
,,"1096","0","FOLLOWS"
,,"0","1097","FOLLOWS"
,,"1098","0","FOLLOWS"
,,"0","1102","FOLLOWS"
,,"1103","0","FOLLOWS"
,,"0","1106","FOLLOWS"
,,"1107","0","FOLLOWS"
,,"1111","0","FOLLOWS"
,,"0","1110","FOLLOWS"
,,"1113","0","FOLLOWS"
,,"0","1115","FOLLOWS"
,,"1118","0","FOLLOWS"
,,"0","1119","FOLLOWS"
,,"1124","0","FOLLOWS"
,,"0","1125","FOLLOWS"
,,"1128","0","FOLLOWS"
,,"0","1129","FOLLOWS"
,,"1136","0","FOLLOWS"
,,"0","1135","FOLLOWS"
,,"0","1138","FOLLOWS"
,,"1141","0","FOLLOWS"
,,"1144","0","FOLLOWS"
,,"1147","0","FOLLOWS"
,,"1150","0","FOLLOWS"
,,"0","1151","FOLLOWS"
,,"1152","0","FOLLOWS"
,,"0","1154","FOLLOWS"
,,"1155","0","FOLLOWS"
,,"0","1158","FOLLOWS"
,,"1159","0","FOLLOWS"
,,"0","1161","FOLLOWS"
,,"1164","0","FOLLOWS"
,,"1168","0","FOLLOWS"
,,"0","1167","FOLLOWS"
,,"1170","0","FOLLOWS"
,,"0","1172","FOLLOWS"
,,"1173","0","FOLLOWS"
,,"0","1176","FOLLOWS"
,,"1177","0","FOLLOWS"
,,"1181","0","FOLLOWS"
,,"0","1180","FOLLOWS"
,,"1184","0","FOLLOWS"
,,"0","1185","FOLLOWS"
,,"1188","0","FOLLOWS"
,,"0","1189","FOLLOWS"
,,"1193","0","FOLLOWS"
,,"0","1194","FOLLOWS"
,,"1196","0","FOLLOWS"
,,"0","1198","FOLLOWS"
,,"1199","0","FOLLOWS"
,,"1204","0","FOLLOWS"
,,"0","1205","FOLLOWS"
,,"0","1207","FOLLOWS"
,,"1206","0","FOLLOWS"
,,"1209","0","FOLLOWS"
,,"0","1215","FOLLOWS"
,,"1212","0","FOLLOWS"
,,"1217","0","FOLLOWS"
,,"0","1219","FOLLOWS"
